Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 9437184	Mean reward: 48.75
Step: 9453568	Mean reward: 50.71875
Step: 9469952	Mean reward: 52.875
Step: 9486336	Mean reward: 54.28125
Step: 9502720	Mean reward: 51.25
Step: 9519104	Mean reward: 49.90625
Step: 9535488	Mean reward: 50.21875
Step: 9551872	Mean reward: 50.34375
Step: 9568256	Mean reward: 49.25
Step: 9584640	Mean reward: 50.65625
Step: 9601024	Mean reward: 50.96875
Step: 9617408	Mean reward: 48.4375
Step: 9633792	Mean reward: 50.09375
Step: 9650176	Mean reward: 51.46875
Step: 9666560	Mean reward: 50.09375
Step: 9682944	Mean reward: 47.4375
Step: 9699328	Mean reward: 47.5625
Step: 9715712	Mean reward: 50.78125
Step: 9732096	Mean reward: 50.15625
Step: 9748480	Mean reward: 49.125
Step: 9764864	Mean reward: 50.1875
Step: 9781248	Mean reward: 49.0625
Step: 9797632	Mean reward: 47.4375
Step: 9814016	Mean reward: 49.25
Step: 9830400	Mean reward: 48.5625
Step: 9846784	Mean reward: 49.75
Step: 9863168	Mean reward: 50.78125
Step: 9879552	Mean reward: 48.875
Step: 9895936	Mean reward: 49.875
Step: 9912320	Mean reward: 49.5
Step: 9928704	Mean reward: 47.59375
Step: 9945088	Mean reward: 50.46875
Step: 9961472	Mean reward: 48.75
Step: 9977856	Mean reward: 52.875
Step: 9994240	Mean reward: 51.3125
Step: 10010624	Mean reward: 49.8125
Step: 10027008	Mean reward: 52.09375
Step: 10043392	Mean reward: 50.40625
Step: 10059776	Mean reward: 52.375
Step: 10076160	Mean reward: 49.71875
Step: 10092544	Mean reward: 53.40625
Step: 10108928	Mean reward: 51.96875
Step: 10125312	Mean reward: 49.28125
Step: 10141696	Mean reward: 53.0625
Step: 10158080	Mean reward: 48.5
Step: 10174464	Mean reward: 52.15625
Step: 10190848	Mean reward: 50.84375
Step: 10207232	Mean reward: 50.0
Step: 10223616	Mean reward: 46.53125
Step: 10240000	Mean reward: 50.5
Step: 10256384	Mean reward: 52.375
Step: 10272768	Mean reward: 51.28125
Step: 10289152	Mean reward: 49.5
Step: 10305536	Mean reward: 50.875
Step: 10321920	Mean reward: 48.53125
Step: 10338304	Mean reward: 50.78125
Step: 10354688	Mean reward: 51.46875
Step: 10371072	Mean reward: 50.625
Step: 10387456	Mean reward: 51.21875
Step: 10403840	Mean reward: 51.0625
Step: 10420224	Mean reward: 50.5625
Step: 10436608	Mean reward: 53.5
Step: 10452992	Mean reward: 51.90625
Step: 10469376	Mean reward: 52.90625
Step: 10485760	Mean reward: 55.0
Step: 10502144	Mean reward: 49.6875
Step: 10518528	Mean reward: 51.9375
Step: 10534912	Mean reward: 51.1875
Step: 10551296	Mean reward: 50.03125
Step: 10567680	Mean reward: 52.0
Step: 10584064	Mean reward: 50.75
Step: 10600448	Mean reward: 52.125
Step: 10616832	Mean reward: 53.90625
Step: 10633216	Mean reward: 51.78125
Step: 10649600	Mean reward: 51.40625
Step: 10665984	Mean reward: 52.4375
Step: 10682368	Mean reward: 51.09375
Step: 10698752	Mean reward: 49.125
Step: 10715136	Mean reward: 48.53125
Step: 10731520	Mean reward: 49.21875
Step: 10747904	Mean reward: 52.53125
Step: 10764288	Mean reward: 54.84375
Step: 10780672	Mean reward: 50.625
Step: 10797056	Mean reward: 52.3125
Step: 10813440	Mean reward: 53.0
Step: 10829824	Mean reward: 51.4375
Step: 10846208	Mean reward: 54.65625
Step: 10862592	Mean reward: 50.0625
Step: 10878976	Mean reward: 49.53125
Step: 10895360	Mean reward: 53.84375
Step: 10911744	Mean reward: 51.6875
Step: 10928128	Mean reward: 53.03125
Step: 10944512	Mean reward: 53.40625
Step: 10960896	Mean reward: 51.03125
Step: 10977280	Mean reward: 52.8125
Step: 10993664	Mean reward: 53.6875
Step: 11010048	Mean reward: 49.75
Step: 11026432	Mean reward: 51.5
Step: 11042816	Mean reward: 49.84375
Step: 11059200	Mean reward: 51.59375
Step: 11075584	Mean reward: 51.28125
Step: 11091968	Mean reward: 51.625
Step: 11108352	Mean reward: 51.625
Step: 11124736	Mean reward: 51.0
Step: 11141120	Mean reward: 51.3125
Step: 11157504	Mean reward: 48.78125
Step: 11173888	Mean reward: 51.25
Step: 11190272	Mean reward: 51.25
Step: 11206656	Mean reward: 51.0625
Step: 11223040	Mean reward: 51.65625
Step: 11239424	Mean reward: 50.21875
Step: 11255808	Mean reward: 51.625
Step: 11272192	Mean reward: 52.375
Step: 11288576	Mean reward: 53.28125
Step: 11304960	Mean reward: 52.6875
Step: 11321344	Mean reward: 48.75
Step: 11337728	Mean reward: 49.40625
Step: 11354112	Mean reward: 51.625
Step: 11370496	Mean reward: 50.90625
Step: 11386880	Mean reward: 52.65625
Step: 11403264	Mean reward: 51.59375
Step: 11419648	Mean reward: 53.71875
Step: 11436032	Mean reward: 53.96875
Step: 11452416	Mean reward: 50.8125
Step: 11468800	Mean reward: 51.96875
Step: 11485184	Mean reward: 54.0
Step: 11501568	Mean reward: 50.90625
Step: 11517952	Mean reward: 51.625
